theory,source,category,known_result,fractal_coherence,fractal_time,fractal_peak_scale,peak_alpha,conv_rate,sg_corr,dim_scale,cqc,stability,entropy,spectrum,quantum_fidelity,quantum_time,consistency,coupling_strength,phase_trans,spec_corr,timestamp
Riemann Hypothesis,Smale (1998),Number Theory,Open,100,1.8493242263793945,0,1.5,0,0,0.071428571,2515.3991160001538,0.30985290839832647,1.196865397058288,"[20.648086162058895, 10.371287085181345, 6.5828651969514524, 5.01686873898128, 4.333296352984297]",28.29589844,0.668097973,100,0,0,0,5/23/2025 4:04
Poincare Conjecture,Smale (1998),Topology,Solved by Perelman,100,3.2880654335021973,0,1.5,0,0,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",18.60351563,0.5286860466003418,100,0,0,0.9373998780369407,5/23/2025 4:04
P vs NP,Smale (1998),Computation,Open,100,1.9747850894927979,0,1.8680000000000003,0,0.13199999999999967,0.083333333,35430.189795031176,0.042055329922234375,1.1051997278772194,"[71.71067872323162, 40.69136553968761, 25.84079093205664, 19.62888087513644, 16.944809795656337]",3.833007813,0.4226717948913574,100,0,0,0.9978756212345117,5/23/2025 4:04
Navier-Stokes Existence,Smale (1998),Physics,Open,100,0.6763954162597656,0,1.6669999999999998,0,0.033,0.125,31333.977701627264,0.3123971590080671,1.105798972148235,"[67.49565287951549, 38.22574157835246, 24.283410414255897, 18.447205147292696, 15.92507158320474]",4.833984375,0.14321327209472656,100,0,0,0.9979529926974859,5/23/2025 4:04
Integer Programming,Smale (1998),Computation,Open,100,0.680321217,0,1.75,0,0.050000000000000044,0.083333333,34901.66174095615,0.16916641279556127,1.1052638462841877,"[71.18067708268602, 40.38153120821416, 25.645130131673405, 19.480425980031647, 16.816700464428365]",4.418945313,0.12752151489257812,100,0,0,0.9978847633832165,5/23/2025 4:04
Birch-Swinnerton-Dyer,Smale (1998),Number Theory,Open,100,0.8269436359405518,0,1.55,0,0.050000000000000044,0.071428571,35612.38601307278,0.1063153838831514,1.105178414208324,"[71.89248885613557, 40.797637602910115, 25.90789918890991, 19.67979803987371, 16.988748745316535]",8.081054688,0.20311951637268066,100,0,0,0.9978725218101697,5/23/2025 4:04
Spherical Points,Smale (1998),Geometry,Open,100,1.0693182945251465,0,1.65,0,0.031999999999999806,0.1111111111111111,35426.81148756988,0.042390133,1.105200126838962,"[71.7073032777379, 40.68939245637972, 25.839544964348416, 19.627935518504618, 16.943994000096925]",12.42675781,0.12490034103393555,100,0,0,0.9978756789536257,5/23/2025 4:04
Anosov Diffeomorphisms,Smale (1998),Dynamical Systems,Open,100,0.6617841720581055,0,1.45,0,0.050000000000000044,0.055555556,19134.827305668543,0.41089759497634837,1.1102080086520905,"[53.01477595635727, 29.723417828511987, 18.906067193689328, 14.366445639527312, 12.403357671463532]",6.0546875,0.1186981201171875,100,0,0,0.998324005,5/23/2025 4:04
Linear Inequalities,Smale (1998),Computation,Open,100,0.6815829277038574,0,1.6,0,0.018000000000000016,0.083333333,24575.512857336453,0.3547436226540393,1.1075336450739772,"[59.903800568759976, 33.77498335919266, 21.47000143294498, 16.312295296487655, 14.082671880186876]",3.930664063,0.12226247787475586,100,0,0,0.9981237765001055,5/23/2025 4:04
Quantum Foundations,Smale (1998),Quantum Theory,Open,100,0.6762886047363281,0,1.6,0,0.018000000000000016,0.066666667,5991.906572197217,0.4699552863354743,1.1405640631945237,"[30.494805046742613, 16.346901673090702, 10.409558591687134, 7.917197799935801, 6.837052452707051]",25.17089844,0.1216285228729248,100,0,0,0.9994634009836578,5/23/2025 4:04
Weinstein Conjecture,Smale (1998),Symplectic Geometry,Open,100,0.6874661445617676,0,1.6,0,0.018000000000000016,0.05,24575.51285733645,0.44470637660678813,1.1075336450739777,"[59.90380056876, 33.77498335919267, 21.47000143294498, 16.31229529648765, 14.082671880186874]",10.32714844,0.12012958526611328,100,0,0,0.9981237765001058,5/23/2025 4:04
Closing Lemma,Smale (1998),Dynamical Systems,Open,100,0.6781749725341797,0,1.5,0,0,0.055555556,24909.065371083998,0.35017486824333943,1.1074165561718565,"[60.30070164553953, 34.00801188966579, 21.61737894693542, 16.424137356887062, 14.17919211413766]",7.495117188,0.12967872619628906,100,0,0,0.9981136821708196,5/23/2025 4:04
Limit Cycles,Smale (1998),Dynamical Systems,Open,100,0.6765563488006592,0,1.45,0,0.050000000000000044,0.055555556,32532.225435582688,0.18906318167410036,1.1055974619889835,"[68.75507826617527, 38.9628356589173, 24.749068716594316, 18.800535830425908, 16.229983981624134]",15.28320313,0.12929415702819824,100,0,0,0.9979287203236831,5/23/2025 4:04
Lorenz Attractor,Smale (1998),Dynamical Systems,Open,100,1.2601397037506104,0,1.65,0,0.031999999999999806,0.055555556,35671.96520476715,0.097827825,1.1051715302832963,"[71.95184340301526, 40.83233027392946, 25.92980648159046, 19.696419766681558, 17.003092449973632]",4.58984375,0.2243802547454834,100,0,0,0.9978715139737415,5/23/2025 4:04
Navier-Stokes Uniqueness,Smale (1998),Physics,Open,100,0.6589691638946533,0,1.6669999999999998,0,0.033,0.125,31333.977701627264,0.3123971590080671,1.105798972148235,"[67.49565287951549, 38.22574157835246, 24.283410414255897, 18.447205147292696, 15.92507158320474]",4.443359375,0.1394352912902832,100,0,0,0.9979529926974859,5/23/2025 4:04
Jacobian Conjecture,Smale (1998),Algebra,Open,100,0.6861200332641602,0,1.5499999999999998,0,0.05,0.125,19813.86577502728,0.40565325826568743,1.1097750849593488,"[53.92242254774186, 30.258013836531887, 19.244552472586726, 14.62334650503317, 12.625073212993666]",3.80859375,0.12686371803283691,100,0,0,0.9982946691431168,5/23/2025 4:04
Polynomial Zeros,Smale (1998),Computation,Open,100,0.6586410999298096,0,1.7,0,0,0.083333333,35723.10865546307,0.004454185,1.105165654459497,"[72.0027554931936, 40.86208779740569, 25.94859727328906, 19.71067689739129, 17.01539562507036]",5.639648438,0.14037847518920898,100,0,0,0.9978706510585543,5/23/2025 4:04
Limits of Intelligence,Smale (1998),Interdisciplinary,Open,100,0.6702241897583008,0,2.7,0,0.018281828459044913,0.055555556,33270.57195864814,0.5614255858829478,1.1054848389969838,"[69.51989266481229, 39.41029202077868, 25.0317139920021, 19.014996929073508, 16.41505564905369]",31.76269531,0.12083745002746582,100,0,0,0.9979144742887628,5/23/2025 4:04
Brain Model,DARPA (2008),Neuroscience,Open,100,0.6649281978607178,0,2.55,0,0.16828182845904527,0.076923077,29593.615389942664,0.7519295716954068,1.1061384188457122,"[65.62389330934438, 37.12964479133549, 23.590816452815126, 17.92166727189824, 15.47154640466796]",40.72265625,0.1307849884033203,100,0,0,0.9979910361334647,5/23/2025 4:04
High-Dimensional Networks,DARPA (2008),Network Theory,Open,100,0.6814827919006348,0,1.5,0,0,0.066666667,16470.626058151553,0.5164773025573319,1.1123140393389161,"[49.29288465459639, 27.528450895436627, 17.515654908236442, 13.311118572666366, 11.492555956109793]",17.67578125,0.13269519805908203,100,0,0,0.9984551476375503,5/23/2025 4:04
Stochasticity,DARPA (2008),Probability,Open,100,0.6901671886444092,0,1.4,0,0.10000000000000009,0.083333333,27183.10026197963,0.31487193918418366,1.106719149979121,"[62.94049115096989, 35.55688325144915, 22.596731690121995, 17.16733001551593, 14.820565294501753]",12.6953125,0.12281656265258789,100,0,0,0.9980500204212668,5/23/2025 4:04
21st-Century Fluids,DARPA (2008),Physics,Open,100,1.2644379138946533,0,1.55,0,0.050000000000000044,0.125,19984.122215687752,0.4946926753464166,1.1096719944488729,"[54.14762140496839, 30.390614622463172, 19.32850111932896, 14.687060534259905, 12.68006073236082]",9.106445313,0.21072649955749512,100,0,0,0.9982875405750142,5/23/2025 4:05
Biological QFT,DARPA (2008),Biophysics,Open,100,0.6620321273803711,0,2.6,0,0.118281828,0.090909091,9982.239770053859,0.9102110156810339,1.1227565082793898,"[38.7572081865859, 21.28556584408515, 13.55407731876782, 10.303969820130456, 8.89712348583563]",25.80566406,0.12810540199279785,100,0,0,0.9989417104397584,5/23/2025 4:05
Computational Duality,DARPA (2008),Computation,Open,100,0.6876821517944336,0,1.45,0,0.050000000000000044,0.083333333,24072.18178802688,0.36136867185032473,1.107718449,"[59.299886160415184, 33.42033516903179, 21.24568893057667, 16.142067180836182, 13.935763769041047]",5.810546875,0.12323927879333496,100,0,0,0.9981394112382612,5/23/2025 4:05
Occam's Razor,DARPA (2008),Statistics,Open,100,0.6825706958770752,0,1.6,0,0.018000000000000016,0.090909091,24575.51285733645,0.44470637660678813,1.1075336450739777,"[59.90380056876, 33.77498335919267, 21.47000143294498, 16.31229529648765, 14.082671880186874]",11.37695313,0.1177361011505127,100,0,0,0.9981237765001058,5/23/2025 4:05
Dark Energy,DARPA (2008),Cosmology,Open,100,0.6837425231933594,0,2.15,0,0.1499999999999999,0.1,28569.19036092663,0.5237178401699534,1.1063679339949204,"[64.49700476524383, 36.469368530446935, 23.173524199333592, 17.605019341529523, 15.198285439977278]",50.390625,0.12744545936584473,100,0,0,0.9980151426073086,5/23/2025 4:05
Evolutionary Dynamics,DARPA (2008),Biology,Open,100,0.6772229671478271,0,1.5,0,0,0.125,26546.05323046523,0.4149423284202681,1.1068981377269804,"[62.2121802996173, 35.12972424132877, 22.326676316784173, 16.962398955475354, 14.643711336225657]",17.30957031,0.12993073463439941,100,0,0,0.9980669998808712,5/23/2025 4:05
High-Dimensional Geometry,DARPA (2008),Geometry,Open,100,0.6877841949462891,0,1.45,0,0.050000000000000044,0.1111111111111111,32532.225435582688,0.18906318167410036,1.1055974619889835,"[68.75507826617527, 38.9628356589173, 24.749068716594316, 18.800535830425908, 16.229983981624134]",15.84472656,0.14554738998413086,100,0,0,0.9979287203236831,5/23/2025 4:05
Persistent Homology,DARPA (2008),Topology,Open,100,0.874685526,0,1.4,0,0.10000000000000009,0.1111111111111111,27183.10026197963,0.31487193918418366,1.106719149979121,"[62.94049115096989, 35.55688325144915, 22.596731690121995, 17.16733001551593, 14.820565294501753]",12.79296875,0.21375632286071777,100,0,0,0.9980500204212668,5/23/2025 4:05
Quantum Computing,DARPA (2008),Quantum Info,Open,100,1.0721802711486816,0,1.3,0,0.19999999999999996,0.076923077,17457.542191023225,0.4217743959331711,1.1114480282310355,"[50.70342434619951, 28.36085945603569, 18.043075064281954, 13.71144004255529, 11.83805649795449]",3.686523438,0.13556551933288574,100,0,0,0.9984033033445597,5/23/2025 4:05
Scalable Game Theory,DARPA (2008),Game Theory,Open,100,0.6686651706695557,0,1.5,0,0,0.083333333,29593.615389942617,0.26778985349488044,1.1061384188457124,"[65.62389330934435, 37.12964479133546, 23.59081645281511, 17.921667271898222, 15.471546404667947]",7.470703125,0.1333329677581787,100,0,0,0.9979910361334647,5/23/2025 4:05
